iter	Passed	Remaining
463	774	894
464	776	892
465	778	891
466	779	890
467	781	888
468	782	886
469	784	884
470	785	882
471	787	881
472	789	879
473	792	879
474	795	879
475	797	877
476	799	876
477	801	874
478	802	872
479	804	871
480	805	869
481	807	867
482	809	866
483	810	864
484	812	862
485	813	860
486	815	858
487	816	856
488	817	854
489	819	852
490	820	850
491	823	849
492	824	848
493	826	846
494	827	844
495	829	842
496	830	840
497	831	838
498	833	836
499	834	834
500	836	832
501	838	831
502	839	829
503	841	828
504	843	826
505	845	825
506	847	823
507	848	822
508	850	820
509	851	818
510	854	817
511	855	815
512	857	813
513	858	811
514	859	809
515	861	807
516	862	806
517	864	804
518	865	802
519	867	800
520	869	799
521	870	797
522	872	795
523	873	793
524	874	791
525	876	789
526	877	787
527	879	785
528	880	784
529	882	782
530	884	781
531	885	779
532	887	777
533	888	775
534	890	773
535	891	771
536	893	770
537	894	768
538	895	766
539	897	764
540	899	763
541	901	761
542	902	759
543	904	758
544	905	756
545	907	754
546	908	752
547	910	750
548	911	748
549	913	747
550	915	746
551	917	744
552	918	742
553	919	740
554	921	738
555	922	736
556	924	735
557	925	733
558	927	731
559	929	730
560	931	728
561	932	727
562	934	725
563	937	724
564	938	722
565	940	721
566	942	719
567	944	718
568	945	716
569	947	714
570	948	712
571	949	710
572	951	708
573	952	707
574	954	705
575	955	703
576	959	703
577	962	702
578	964	701
579	966	699
580	967	698
581	969	696
582	970	694
583	973	693
584	975	691
585	976	689
586	977	687
587	979	686
588	980	684
589	982	682
590	983	680
591	984	678
592	986	677
593	988	675
594	990	674
595	991	672
596	993	670
597	994	668
598	996	666
599	997	665
600	998	663
601	1000	661
602	1002	660
603	1004	658
604	1005	656
605	1007	654
606	1008	653
607	1009	651
608	1011	649
609	1012	647
610	1014	645
611	1015	643
612	1017	642
613	1019	640
614	1021	639
615	1022	637
616	1024	635
617	1026	634
618	1027	632
619	1029	630
620	1030	629
621	1032	627
622	1034	626
623	1036	624
624	1037	622
625	1039	620
626	1040	619
627	1042	617
628	1043	615
629	1045	613
630	1046	612
631	1048	610
632	1050	609
633	1051	607
634	1053	605
635	1055	603
636	1056	602
637	1058	600
638	1060	598
639	1062	597
640	1064	596
641	1065	594
642	1067	592
643	1068	590
644	1070	588
645	1071	587
646	1072	585
647	1074	583
648	1075	581
649	1077	580
650	1079	578
651	1080	576
652	1082	575
653	1083	573
654	1085	571
655	1086	569
656	1088	568
657	1089	566
658	1091	564
659	1093	563
660	1094	561
661	1096	559
662	1097	558
663	1099	556
664	1100	554
665	1102	552
666	1103	550
667	1104	549
668	1106	547
669	1108	546
670	1110	544
671	1111	542
672	1113	540
673	1114	539
674	1115	537
675	1117	535
676	1118	533
677	1120	531
678	1121	530
679	1123	528
680	1125	527
681	1127	525
682	1128	523
683	1130	522
684	1132	520
685	1133	519
686	1135	517
687	1137	515
688	1139	514
689	1140	512
690	1142	510
691	1143	508
692	1145	507
693	1146	505
694	1147	503
695	1149	501
696	1150	500
697	1152	498
698	1154	497
699	1155	495
700	1157	493
701	1158	491
702	1160	490
703	1161	488
704	1162	486
705	1164	484
706	1165	483
707	1167	481
708	1169	479
709	1170	478
710	1172	476
711	1173	474
712	1175	473
713	1177	471
714	1179	470
715	1181	468
716	1184	467
717	1186	466
718	1188	464
719	1190	462
720	1191	461
721	1193	459
722	1194	457
723	1195	455
724	1197	454
725	1199	452
726	1201	451
727	1202	449
728	1204	447
729	1205	445
730	1207	444
731	1208	442
732	1209	440
733	1211	438
734	1213	437
735	1215	435
736	1216	434
737	1218	432
738	1220	430
739	1222	429
740	1223	427
741	1224	425
742	1226	424
743	1228	422
744	1230	421
745	1231	419
746	1233	417
747	1234	415
748	1235	414
749	1237	412
750	1238	410
751	1240	409
752	1242	407
753	1244	406
754	1246	404
755	1247	402
756	1249	401
757	1250	399
758	1252	397
759	1253	395
760	1255	394
761	1256	392
762	1258	390
763	1260	389
764	1262	387
765	1263	386
766	1265	384
767	1266	382
768	1267	380
769	1269	379
770	1270	377
771	1272	375
772	1274	374
773	1275	372
774	1277	370
775	1278	369
776	1280	367
777	1281	365
778	1283	363
779	1284	362
780	1285	360
781	1287	358
782	1289	357
783	1291	355
784	1292	354
785	1294	352
786	1295	350
787	1296	348
788	1298	347
789	1299	345
790	1301	343
791	1303	342
792	1305	340
793	1307	339
794	1308	337
795	1309	335
796	1311	334
797	1312	332
798	1314	330
799	1315	328
800	1317	327
801	1319	325
802	1321	324
803	1323	322
804	1324	320
805	1326	319
806	1328	317
807	1330	316
808	1332	314
809	1334	312
810	1335	311
811	1337	309
812	1338	307
813	1340	306
814	1341	304
815	1342	302
816	1344	301
817	1345	299
818	1347	297
819	1349	296
820	1351	294
821	1352	292
822	1353	291
823	1355	289
824	1356	287
825	1358	286
826	1359	284
827	1361	282
828	1363	281
829	1364	279
830	1366	277
831	1367	276
832	1369	274
833	1370	272
834	1372	271
835	1373	269
836	1375	267
837	1376	266
838	1378	264
839	1380	262
840	1381	261
841	1383	259
842	1384	257
843	1385	256
844	1387	254
845	1388	252
846	1390	251
847	1391	249
848	1393	247
849	1395	246
850	1397	244
851	1398	242
852	1400	241
853	1401	239
854	1403	237
855	1404	236
856	1406	234
857	1408	233
858	1409	231
859	1411	229
860	1413	228
861	1414	226
862	1416	224
863	1418	223
864	1419	221
865	1421	219
866	1423	218
867	1424	216
868	1426	215
869	1427	213
870	1429	211
871	1430	210
872	1432	208
873	1433	206
874	1434	204
875	1436	203
876	1438	201
877	1440	200
878	1441	198
879	1443	196
880	1444	195
881	1445	193
882	1447	191
883	1448	190
884	1450	188
885	1451	186
886	1453	185
887	1455	183
888	1456	181
889	1458	180
890	1459	178
891	1461	176
892	1462	175
893	1464	173
894	1465	171
895	1466	170
896	1469	168
897	1470	167
898	1472	165
899	1473	163
900	1475	162
901	1476	160
902	1478	158
903	1479	157
904	1481	155
905	1482	153
906	1484	152
907	1486	150
908	1487	148
909	1489	147
910	1490	145
911	1492	143
912	1493	142
913	1494	140
914	1496	139
915	1498	137
916	1500	135
917	1501	134
918	1503	132
919	1504	130
920	1506	129
921	1507	127
922	1508	125
923	1510	124
924	1511	122
925	1513	120
926	1515	119
927	1517	117
928	1518	116
929	1520	114
930	1522	112
931	1523	111
932	1525	109
933	1527	107
934	1529	106
935	1530	104
936	1532	103
937	1535	101
938	1537	99
939	1538	98
940	1540	96
941	1541	94
942	1543	93
943	1545	91
944	1547	90
945	1548	88
946	1550	86
947	1551	85
948	1552	83
949	1554	81
950	1555	80
951	1557	78
952	1560	76
953	1561	75
954	1563	73
955	1565	72
956	1566	70
957	1568	68
958	1570	67
959	1572	65
960	1576	63
961	1578	62
962	1580	60
963	1581	59
964	1582	57
965	1584	55
966	1585	54
967	1586	52
968	1588	50
969	1590	49
970	1592	47
971	1594	45
972	1595	44
973	1596	42
974	1598	40
975	1599	39
976	1601	37
977	1602	36
978	1605	34
979	1607	32
980	1609	31
981	1610	29
982	1612	27
983	1614	26
984	1616	24
985	1617	22
986	1620	21
987	1622	19
988	1623	18
989	1625	16
990	1626	14
991	1627	13
992	1629	11
993	1630	9
994	1632	8
995	1633	6
996	1636	4
997	1637	3
998	1639	1
999	1640	0
